media_id,Media_vehicle
16797,Building Facade -  Ashram Flyover -  Delhi to Noida
16798,Building Facade -  Ashram Flyover -  Noida to Delhi
16799,Building Facade -  Ashram Flyover -  Delhi to Noida
16800,Building Facade -  Ashram Flyover -  Noida to Delhi
16895,Metro Bridge Panel -  Chattarpur Metro Station -  Gurgaon to Delhi
16973,Metro Station Facade -  Dhaula Kuan Metro Station - Delhi to Gurgaon
17327,Metro Bridge Panel -  Lajpat Nagar Metro station -  Defence Colony to Moolchand
17328,Metro Bridge Panel -  Lajpat Nagar Metro station -  Moolchand to Defence Colony
17358,Billboard -  Oberoi Flyover -  MoolChand to Pragati Maidan
17901,Unipole -  Nr. Flyover Outer Ring Road - NH-8 to IIT
26272,Metro Signage - Subroto Park - Domestic airport to NH8
25538,Metro Bridge Panel - Airport Road - NH-8 to Airport 
25649,Billboard - Oberoi Flyover - MoolChand to Pragati Maidan
23023,Public Utility - Nelson Mandela Road Near DLF Mall - Vasant Vihar to Vasant Kunj
23021,"Public Utility - Cremation Ground, Lodhi Road - Oberoi Flyover to Defence Colony"
23022,Public Utility - Nelson Mandela Road Near DLF Mall - Vasant Kunj to Vasant Vihar
23020,Public Utility - Near Thapar Chamber - Delhi to Noida
23017,Public Utility - Opp. Salect City - Malviya Nagar to Shaikh Sarai
23015,Public Utility - Nehru Place - Nehru Place to Modi Mill
23016,Public Utility - Press Enclave Road - Malviya Nagar to Shaikh Sarai
23013,Public Utility - Opp Sai Temple - JLN to Khan Market
23014,Public Utility - Andrews Ganj - Moolchand to AIIMS
23010,Public Utility - Ashram Chowk - Mathura Road to Ring Road
23011,Public Utility - Jia Sarai - IIT Gate to Munirka
28122,Unipole - Sarai Kale Khan - Rajghat to Ashram
28120,Unipole - Ashram - Sarai Khale Kha To Ashram
28121,Unipole - Sarai Kale Khan - Ashram to Rajghat
28119,Unipole - Ashram - Ashram to Sarai Khale kha
22748,Smart Bus Shelter - MG Road - Delhi to Gurgaon
22749,Smart Bus Shelter - MG Road - Gurgaon to Delhi
22750,Smart Bus Shelter - MG Road - Delhi to Gurgaon
22751,Smart Bus Shelter - Sultanpur - Delhi to Gurgaon
22752,Smart Bus Shelter - MG Road - Delhi to Gurgaon
22753,Smart Bus Shelter - MG Road - Gurgaon to Delhi
22754,Smart Bus Shelter - MG Road - Delhi to Gurgaon
22755,Smart Bus Shelter - MG Road - Gurgaon to Delhi
22756,Smart Bus Shelter - MG Road - Delhi to Gurgaon
22757,Smart Bus Shelter - MG Road - Gurgaon to Delhi
22759,Smart Bus Shelter - Nelson Mandela Marg - Mahipalpur to Munirka
22760,Smart Bus Shelter - Saket - MB Road to AN Depot
22761,Smart Bus Shelter - Saket - MB Road to AN Depot
20467,"Unipole - Ryan International School, Vasant Kunj - NH-8 to Andheria More"
20468,"Unipole - Ryan International School, Vasant Kunj - Andheria More to NH-8"
20465,Unipole - NH-8 Rajokari - Gurgaon to Delhi
20466,Unipole - NH-8 Rajokari - Delhi to Gurgaon
20464,Unipole - NH-8 Toll Tax - Gurgaon to Delhi
25569,Smart Bus Shelter - Srinivaspuri - DND Flyway to AIIMS
27295,Unipole - JB Tito Marg - Moolchand to Chirag Delhi
27845,Unipole - South Extension - AIIMS to Ashram
25755,Smart Bus Shelter - IIT Hostel - Panchsheel Park to Vasant Vihar
25747,Unipole - Dhaula Kuan - Mayapuri to Bhikaji Cama Palace
25748,Unipole - Saket - Sheikh Sarai to Malviya Nagar 
16026,Unipole - Kalindi Kunj - Delhi to Noida
16027,Unipole - Kalindi Kunj - Delhi to Noida
16028,Unipole - Kalindi Kunj - Delhi to Noida
16029,Unipole - Kalindi Kunj - Delhi to Noida
16030,Unipole - Kalindi Kunj - Delhi to Noida
16031,Unipole - Kalindi Kunj - Noida to Delhi
16032,Unipole - Kalindi Kunj - Delhi to Noida
16033,Unipole - Kalindi Kunj - Delhi to Noida
16034,"Unipole - Kalindi Kunj, Jasola - Delhi to Noida"
16035,"Unipole - Kalindi Kunj, Jasola - Delhi to Noida"
16036,"Unipole - Kalindi Kunj, Jasola - Noida to Delhi"
16037,"Unipole - Kalindi Kunj, Jasola - Delhi to Noida"
16038,"Unipole - Kalindi Kunj, Jasola - Noida to Delhi"
16039,"Unipole - Kalindi Kunj, Jasola - Delhi to Noida"
