,media_id,Illumination
0,16797,Frontlit
1,16798,Frontlit
2,16799,Frontlit
3,16800,Frontlit
4,16895,Frontlit
5,16973,Nonlit
6,17327,Frontlit
7,17328,Frontlit
8,17358,Frontlit
9,17901,Frontlit
10,26272,Frontlit
11,25538,Frontlit
12,25649,Frontlit
13,23023,Frontlit
14,23021,Frontlit
15,23022,Frontlit
16,23020,Frontlit
17,23017,Frontlit
18,23015,Frontlit
19,23016,Frontlit
20,23013,Frontlit
21,23014,Frontlit
22,23010,Frontlit
23,23011,Frontlit
24,28122,Frontlit
25,28120,Frontlit
26,28121,Frontlit
27,28119,Frontlit
28,22748,Backlit
29,22749,Backlit
30,22750,Backlit
31,22751,Backlit
32,22752,Backlit
33,22753,Backlit
34,22754,Backlit
35,22755,Backlit
36,22756,Backlit
37,22757,Backlit
38,22759,Backlit
39,22760,Backlit
40,22761,Backlit
41,20467,Frontlit
42,20468,Frontlit
43,20465,
44,20466,
45,20464,
46,25569,Backlit
47,27295,Frontlit
48,27845,Frontlit
49,25755,Backlit
50,25747,Frontlit
51,25748,Frontlit
52,16026,Frontlit
53,16027,Frontlit
54,16028,Frontlit
55,16029,Frontlit
56,16030,Frontlit
57,16031,Frontlit
58,16032,Frontlit
59,16033,Frontlit
60,16034,Frontlit
61,16035,Frontlit
62,16036,Frontlit
63,16037,Frontlit
64,16038,Frontlit
65,16039,Frontlit
66,16040,Frontlit
67,16041,Frontlit
68,16042,Frontlit
69,16043,Frontlit
70,16044,Frontlit
71,16045,Frontlit
72,16046,Frontlit
73,16047,Frontlit
74,16048,Frontlit
75,16049,Frontlit
76,16050,Frontlit
77,16051,Frontlit
78,16052,Frontlit
79,16101,Frontlit
80,16102,Frontlit
81,16103,Frontlit
82,16104,Frontlit
83,16105,Frontlit
84,16106,Frontlit
85,16107,Frontlit
86,16108,Frontlit
87,16109,Frontlit
88,26259,Frontlit
89,16111,Frontlit
90,16112,Frontlit
91,16113,Frontlit
92,16114,Frontlit
93,16115,Frontlit
94,16116,Frontlit
95,16117,Frontlit
96,16118,Frontlit
97,16119,Frontlit
98,16120,Frontlit
99,16122,Frontlit
100,16150,
101,16151,
102,16152,
103,16168,Nonlit
104,16169,Nonlit
105,16170,Nonlit
106,16172,Frontlit
107,16173,Frontlit
108,28214,Frontlit
109,28215,Frontlit
110,16208,Backlit
111,16209,Backlit
112,16210,Backlit
113,16211,Backlit
114,16212,Backlit
115,16213,Backlit
116,16214,Backlit
117,16215,Backlit
118,16218,Backlit
119,16303,Frontlit
120,16304,Frontlit
121,16305,Frontlit
122,16306,Frontlit
123,16313,Frontlit
124,16314,Frontlit
125,26911,Frontlit
126,26910,Frontlit
127,16340,Frontlit
128,28213,Frontlit
129,16687,Frontlit
130,16688,Frontlit
131,16689,Frontlit
132,16690,Frontlit
133,16691,Frontlit
134,16697,Frontlit
135,16698,Frontlit
136,16699,Frontlit
137,16712,Frontlit
138,16713,Frontlit
139,16714,Frontlit
140,16717,Nonlit
141,16718,Nonlit
142,16719,Nonlit
143,16720,Nonlit
144,16721,Nonlit
145,16722,Nonlit
146,16749,Frontlit
147,16750,Frontlit
148,16751,Frontlit
149,16752,Frontlit
150,16778,Frontlit
151,16779,Frontlit
152,16780,Backlit
153,16781,Frontlit
154,16796,Frontlit
155,16801,Frontlit
156,16802,Backlit
157,16803,Backlit
158,16804,Backlit
159,16805,Backlit
160,16806,Backlit
161,16807,Backlit
162,16808,Backlit
163,16809,Backlit
164,16810,Backlit
165,16830,Backlit
166,16831,Backlit
167,16832,Backlit
168,16856,Backlit
169,16858,Backlit
170,16864,Backlit
171,16865,Backlit
172,16866,Backlit
173,16867,Backlit
174,16868,Backlit
175,16869,Backlit
176,16870,Backlit
177,16871,Backlit
178,16872,Backlit
179,16873,Backlit
180,16889,Frontlit
181,16890,Frontlit
182,16891,Frontlit
183,16892,Frontlit
184,16893,Frontlit
185,16894,Frontlit
186,16896,Frontlit
187,16897,Frontlit
188,16898,Frontlit
189,16900,Backlit
190,16901,Backlit
191,16902,Backlit
192,16903,Frontlit
193,16931,Backlit
194,16934,Frontlit
195,16935,Frontlit
196,28212,
197,16937,Backlit
198,16943,Frontlit
199,16944,Frontlit
200,16945,Frontlit
201,16946,Backlit
202,16947,Backlit
203,16948,Frontlit
204,16949,Frontlit
205,16950,Frontlit
206,16951,Frontlit
207,16952,Frontlit
208,16953,Frontlit
209,16954,Frontlit
210,16955,Frontlit
211,16956,Frontlit
212,16957,Frontlit
213,16966,Backlit
214,16972,Nonlit
215,16974,Frontlit
216,16977,Frontlit
217,17112,Frontlit
