Hoarding Id,City,Location,Facing Traffic From,Traffic To,HOARDING SIZE,NAME OF ROAD,LANDMARK,TYPE OF AREA,LIT/NONLIT,BOARD LOCATION,Contact,Email,img_link,file_name
1, Solapur,Solapur City,Solapur ,Solapur ,Solapur,Solapur City,Solapur,Solapur,Solapur,Solapur City,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Park Stadium Chauk 20x20.jpg,1_Q00001_thumb_front
2, Solapur,Park Cowk,,,20X20,,,,NL,Park Cowk,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Park Stadium Chauk 20x20.jpg,1_Q00002_thumb_front
3, Solapur,Vijapur Road,,,20X20,Vijapur Road,,,NL,Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Vijapur_Road_20x20___6_.JPG,1_Q00003_thumb_front
4, Solapur,Vijapur Road,,,40X20,Vijapur Road,,,NL,Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Vijapur_Road_40x20.JPG,1_Q00004_thumb_front
5, Solapur,Vijapur Road,,,60X20,Vijapur Road,,,NL,Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Vijapur_Road_60x20.JPG,1_Q00005_thumb_front
6, Solapur,Vijapur Road,,,20X20,Vijapur Road,,,NL,Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Vijapur Road 20x20.JPG,1_Q00006_thumb_front
7, Solapur,Vijapur Road,,,40X20,Vijapur Road,,,NL,Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Vijapur_Road_Dudh_dairy_40X20.JPG,1_Q00007_thumb_front
8, Solapur,Vijapur Road,,,30X15,Vijapur Road,,,NL,Vijapur Road,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Vijapur_Road_30x15__3_.JPG,1_Q00008_thumb_front
9, Solapur,Saat Rasta,,,60X30,Saat Rasta,,,NL,Saat Rasta,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Saat_Rasta_60x30.JPG,1_Q00009_thumb_front
10, Solapur,Saat Rasta,,,70X20,Saat Rasta,,,NL,Saat Rasta,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Saat Rasta 70X20 (1).jpg,1_Q00010_thumb_front
11, Solapur,Saat Rasta,,,30X10,Saat Rasta,,,NL,Saat Rasta,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur Saat Rasta 30x10.jpg,1_Q00011_thumb_front
12, Solapur,Saat Rasta,,,20X20,Saat Rasta,,,NL,Saat Rasta,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/Solapur_Saat_Rasta_20x20__1_.JPG,1_Q00012_thumb_front
13, Solapur,Saat Rasta,,,35X15,Saat Rasta,,,NL,Saat Rasta,9225803751,operations.marquis@gmail.com,http://www.marquisads.com/admin1/photos/11_Solapur Saat Rasta 35x15 (5).JPG,1_Q00013_thumb_front
