,link,name
0,"http://www.shraddhaadvertising.com/Hoarding/20x10 FL @ Athwagate, Nr.Mahavir Cardiac Hospital(above).jpg",1_O54001_thumb_front.jpg
1,"http://www.shraddhaadvertising.com/Hoarding/20x10 NL Rander Road,Nr. mahavir Petrol Pump(above).jpg",1_O54002_thumb_front.jpg
2,"http://www.shraddhaadvertising.com/Hoarding/20x10-FL-@-Athwagate,-Nr.Mahavir-Cardiac-Hospital(below).jpg",1_O54003_thumb_front.jpg
3,"http://www.shraddhaadvertising.com/Hoarding/15x20 FL Anand mahal Road,Nr.prime Arcade.jpg",1_O54004_thumb_front.jpg
4,"http://www.shraddhaadvertising.com/Hoarding/20x10-FL-@-Athwagate,-Nr.Mahavir-Cardiac-Hospital(middle).jpg",1_O54005_thumb_front.jpg
5,"http://www.shraddhaadvertising.com/Hoarding/20x10 FL Adajan, Nr. Bhulkabhavn school(above).jpg",1_O54006_thumb_front.jpg
6,"http://www.shraddhaadvertising.com/Hoarding/20x20 BL @Athwalines , parle point.jpg",1_O54007_thumb_front.jpg
7,"http://www.shraddhaadvertising.com/Hoarding/20x10 FL Adajan,Bhulkabhavan School(middle).jpg",1_O54008_thumb_front.jpg
8,"http://www.shraddhaadvertising.com/Hoarding/20x20 BL@Athwalines,opp SVR College.jpg",1_O54009_thumb_front.jpg
9,"http://www.shraddhaadvertising.com/Hoarding/20x10 @ FL Rander Road,Nr. mahavir Petrol Pump.jpg",1_O54010_thumb_front.jpg
10,http://www.shraddhaadvertising.com/Hoarding/20x32 FL@  Athwagate Nr.Meher Park.jpg,1_O54011_thumb_front.jpg
11,http://www.shraddhaadvertising.com/Hoarding/20x10 FL @ Star Bazaar to Gujarat Gas circle.jpg,1_O54012_thumb_front.jpg
12,"http://www.shraddhaadvertising.com/Hoarding/25x20 FL @Athwagate ,Nr. Vanita vishram ground.jpg",1_O54013_thumb_front.jpg
13,"http://www.shraddhaadvertising.com/Hoarding/20x21 FL @ Adajan,  Nr.Bulka Bavan School.jpg",1_O54014_thumb_front.jpg
14,"http://www.shraddhaadvertising.com/Hoarding/30x15 FL @ Athwalines Nr.Parle Point, Nr. Sargam Shopping Centre(above).jpg",1_O54015_thumb_front.jpg
15,"http://www.shraddhaadvertising.com/Hoarding/20x21 FL @ Rander Rd,opp Next showroom.jpg",1_O54016_thumb_front.jpg
16,"http://www.shraddhaadvertising.com/Hoarding/30x15 FL@ Athwalines to Dumas,Nr.Sargam Shopping Centre(below).jpg",1_O54017_thumb_front.jpg
17,http://www.shraddhaadvertising.com/Hoarding/30x25 FL @Makkai Bridge.jpg,1_O54018_thumb_front.jpg
18,"http://www.shraddhaadvertising.com/Hoarding/30x31 FL @Athwalines,Parlepoint Flyover, Nr. Sargam Shopping Centre.jpg",1_O54019_thumb_front.jpg
19,"http://www.shraddhaadvertising.com/Hoarding/81x20 FL Rushabh Tower , Rander Road.jpg",1_O54020_thumb_front.jpg
20,http://www.shraddhaadvertising.com/Hoarding/20x20 Bhatar Road Nr. Vaishnodevi Temple.jpg,1_O54021_thumb_front.jpg
21,"http://www.shraddhaadvertising.com/Hoarding/41x41 FL @ Ring Road, Opp. RTO Circle.jpg",1_O54022_thumb_front.jpg
22,http://www.shraddhaadvertising.com/Hoarding/20x20 BL @Bhatar Nr.Arjun Complex.jpg,1_O54023_thumb_front.jpg
23,"http://www.shraddhaadvertising.com/Hoarding/20x10 FL @ Ring Road,Nr.Jivan Bharti School.jpg",1_O54024_thumb_front.jpg
24,"http://www.shraddhaadvertising.com/Hoarding/20x20 FL @ Bhatar Road, Nr. Mcdonald Restaurant (Inside).jpg",1_O54025_thumb_front.jpg
25,"http://www.shraddhaadvertising.com/Hoarding/20x20 BL @ Ring Rd, Supertax tower, Opp Kinary Cinema.jpg",1_O54026_thumb_front.jpg
26,"http://www.shraddhaadvertising.com/Hoarding/20x20 BL@Citylight,Opp maheshwari bhawan.jpg",1_O54027_thumb_front.jpg
27,"http://www.shraddhaadvertising.com/Hoarding/20x30 BL @ Ring Road, Udhna Darwaja Circle, DCB Bank Bldg..jpg",1_O54028_thumb_front.jpg
28,"http://www.shraddhaadvertising.com/Hoarding/35x15 FL@ Citylight, Nr. Ashok pan.jpg",1_O54029_thumb_front.jpg
29,"http://www.shraddhaadvertising.com/Hoarding/30x20 FL@Ring Rd,Center point (below).jpg",1_O54030_thumb_front.jpg
30,"http://www.shraddhaadvertising.com/Hoarding/20x20 FL @ Bhatar Road, Nr. Mcdonald Restaurant.jpg",1_O54031_thumb_front.jpg
31,"http://www.shraddhaadvertising.com/Hoarding/30x20 FL @ Ring Road, Nr.Sugar N Spice (Outside).jpg",1_O54032_thumb_front.jpg
32,http://www.shraddhaadvertising.com/Hoarding/20x20 BL@Ghod dod Road Abhinandan A.C. Market.jpg,1_O54033_thumb_front.jpg
33,"http://www.shraddhaadvertising.com/Hoarding/40x15 FL @ Ring Road Flyover, Nr.Sugar N Spice (Above).jpg",1_O54034_thumb_front.jpg
34,"http://www.shraddhaadvertising.com/Hoarding/20x20 FL@ Ghoddod Road, Nr. BSNL Office.jpg",1_O54035_thumb_front.jpg
35,"http://www.shraddhaadvertising.com/Hoarding/40x20 FL @ Ring Road Flyover, Opp. Kinnary Cinema.jpg",1_O54036_thumb_front.jpg
